case_id,dimension,value_label,scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
default,default,default,fee_oscillation,307,thetashield,240,500000,500,1834500000000000000,-13739385915166154619,-11904885915166154619,8680665506806654200,1187000000000000000,647500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,199973,3,29,0,0,0
default,default,default,fee_oscillation,401,thetashield,240,500000,500,1773000000000000000,-3487568560294564699,-1714568560294564699,8222640552226404700,1185500000000000000,587500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,199973,3,29,0,0,0
default,default,default,fee_oscillation,503,thetashield,240,500000,500,1796000000000000000,-16332946944044042319,-14536946944044042319,8643284176432840900,1152500000000000000,643500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,benign_noise,101,thetashield,240,500000,500,1803500000000000000,721846119924357661,2525346119924357661,303998643039986400,1803500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,benign_noise,211,thetashield,240,500000,500,1701000000000000000,-221726498122391316,1479273501877608684,312406383124063800,1701000000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,benign_noise,307,thetashield,240,500000,500,1894500000000000000,339556708906328166,2234056708906328166,345604203456042000,1894500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,benign_noise,401,thetashield,240,500000,500,1761500000000000000,2024857297790390868,3786357297790390868,296099012960990100,1761500000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,benign_noise,503,thetashield,240,500000,500,1796000000000000000,-36063149345088935,1759936850654911065,283901092839010900,1796000000000000000,0,0,,,,0,0,,,,0,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_buying,101,thetashield,240,500000,1152,4162613000000000000,-1403436187671588794612,-1399273574671588794612,13449867514498673800,720066000000000000,3442547000000000000,194029850746268656,248554913294797687,50,772780602268283144,595833333333333333,4224,751445086705202312,1321,,470897121209971481,199973,3,29,0,0,0
dead_band_k__0p5,dead_band_k,0.5,persistent_informed_buying,211,thetashield,240,500000,1036,3529915000000000000,-1468719876115384226588,-1465189961115384226588,12595649675956495500,732100000000000000,2797815000000000000,276315789473684210,256097560975609756,45,726106743897393462,595833333333333333,6170,743902439024390243,1178,,369405823111716511,199973,3,29,0,0,0
