mode,scenario,seed,policy,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,false_positive_rate_wad,false_negative_rate_wad,requested_notional_quote_wad,executed_notional_quote_wad,volume_lost_quote_wad,volume_retained_rate_wad,benign_volume_retained_rate_wad,toxic_volume_retained_rate_wad,retained_event_count,coverage_eligible_epochs,coverage_deficit_epochs,latest_coverage_ratio_wad
inelastic,high_volatility_uninformed,401,coverage_thetashield,450000,500,1851500000000000000,3143852978858659902,3691556836915568000,0,,3703000000000000000000,3703000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,20,508556338028169064
inelastic,high_volatility_uninformed,503,thetashield,500000,500,1873500000000000000,-8033856168764416295,3431643704316436700,0,,3747000000000000000000,3747000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,high_volatility_uninformed,503,coverage_thetashield,450000,500,1873500000000000000,-8033856168764416295,3431643704316436700,0,,3747000000000000000000,3747000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,18,2095028571428571638
inelastic,toxic_volatility_burst,101,thetashield,500000,553,2097091000000000000,-59474526373927859796,5068252440682523900,81521739130434782,875000000000000000,3793000000000000000000,3793000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,toxic_volatility_burst,101,coverage_thetashield,450000,552,2091211000000000000,-59480406373927859796,5068252440682523900,81521739130434782,875000000000000000,3793000000000000000000,3793000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,7,2749725000000000274
inelastic,toxic_volatility_burst,211,thetashield,500000,500,1782500000000000000,-212278897937394704761,5238413042384129900,0,1000000000000000000,3565000000000000000000,3565000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,toxic_volatility_burst,211,coverage_thetashield,450000,500,1782500000000000000,-212278897937394704761,5238413042384129900,0,1000000000000000000,3565000000000000000000,3565000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,22,8,2076204318936877284
inelastic,toxic_volatility_burst,307,thetashield,500000,557,1958636000000000000,-93176170004831224200,5696773666967736100,97826086956521739,910714285714285714,3513000000000000000000,3513000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,toxic_volatility_burst,307,coverage_thetashield,450000,555,1951272000000000000,-93183534004831224200,5696773666967736100,97826086956521739,910714285714285714,3513000000000000000000,3513000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,7,3758545751633987303
inelastic,toxic_volatility_burst,401,thetashield,500000,543,1932531000000000000,-95124211210835099892,5345402923454028700,76086956521739130,875000000000000000,3543000000000000000000,3543000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,toxic_volatility_burst,401,coverage_thetashield,450000,542,1928899000000000000,-95127843210835099892,5345402923454028700,76086956521739130,875000000000000000,3543000000000000000000,3543000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,21,7,11469441176470589382
inelastic,toxic_volatility_burst,503,thetashield,500000,553,1917307000000000000,-75697806286549489061,5542097655420976000,59782608695652173,642857142857142857,3481000000000000000000,3481000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
inelastic,toxic_volatility_burst,503,coverage_thetashield,450000,553,1916490000000000000,-75698623286549489061,5542097655420976000,59782608695652173,642857142857142857,3481000000000000000000,3481000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,20,7,4028723300970874189
inelastic,neutral_inside_attack,101,thetashield,500000,758,2798062000000000000,-810415026993392503193,10697046396970462900,173076923076923076,389705882352941176,3698000000000000000000,3698000000000000000000,0,1000000000000000000,1000000000000000000,1000000000000000000,240,0,0,
