scenario,seed,policy,event_count,gain_fee_pips,mean_applied_fee_pips,lp_fee_revenue_quote_wad,inventory_pnl_quote_wad,lp_net_pnl_quote_wad,realized_adverse_markout_quote_wad,benign_trader_fees_quote_wad,toxic_trader_fees_quote_wad,false_positive_rate_wad,false_negative_rate_wad,detection_latency_steps,toxic_notional_premium_rate_wad,time_above_baseline_rate_wad,fee_oscillation_pips,directionally_correct_toxic_rate_wad,toxic_buy_mean_fee_pips,toxic_sell_mean_fee_pips,correlation_with_volatility_only_wad,hook_gas_per_swap,reactive_callback_latency_steps,applied_callbacks,missing_callbacks,rejected_callbacks,expired_reference_count
alternating_toxicity,211,dead_band_no_persistence,240,350000,651,2514177000000000000,3155676648225554633,5669853648225554633,13502536935025368000,757867000000000000,1756310000000000000,358974358974358974,506172839506172839,26,493466564181398923,450000000000000000,5956,327160493827160493,647,692,332171723042349567,80253,3,29,0,0,0
alternating_toxicity,211,thetashield,240,500000,554,2135657000000000000,3155676648225554633,5291333648225554633,13502536935025368000,688487000000000000,1447170000000000000,128205128205128205,895061728395061728,143,115295926210607225,112500000000000000,1766,104938271604938271,500,590,162938823970116692,80253,3,29,0,0,0
alternating_toxicity,307,fixed_fee,240,0,500,1891500000000000000,2810030905830380217,4701530905830380217,12421379654213795300,685000000000000000,1206500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,,0,0,0,0
alternating_toxicity,307,volatility_only,240,200000,886,3336584000000000000,2810030905830380217,6146614905830380217,12421379654213795300,1056132000000000000,2280452000000000000,583333333333333333,44871794871794871,5,948611686697057604,825000000000000000,2256,0,967,931,1000000000000000000,80253,3,30,0,0,0
alternating_toxicity,307,raw_positive_markout,240,100000,785,2978235000000000000,2810030905830380217,5788265905830380217,12421379654213795300,975578000000000000,2002657000000000000,619047619047619047,89743589743589743,7,911728139245752175,808333333333333333,5575,519230769230769230,802,841,653873984878185382,80253,3,30,0,0,0
alternating_toxicity,307,dead_band_no_persistence,240,350000,595,2275649000000000000,2810030905830380217,5085679905830380217,12421379654213795300,792977000000000000,1482672000000000000,273809523809523809,628205128205128205,50,402403646912556983,337500000000000000,3452,301282051282051282,588,621,309732092904165457,80253,3,30,0,0,0
alternating_toxicity,307,thetashield,240,500000,500,1891500000000000000,2810030905830380217,4701530905830380217,12421379654213795300,685000000000000000,1206500000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,3,30,0,0,0
alternating_toxicity,401,fixed_fee,240,0,500,1797000000000000000,7119104226296832874,8916104226296832874,12309563123095630000,593000000000000000,1204000000000000000,0,1000000000000000000,,0,0,0,0,500,500,0,80253,,0,0,0,0
alternating_toxicity,401,volatility_only,240,200000,870,3138801000000000000,7119104226296832874,10257905226296832874,12309563123095630000,903113000000000000,2235688000000000000,582278481012658227,55900621118012422,5,955149501661129568,825000000000000000,2240,0,959,892,1000000000000000000,80253,3,30,0,0,0
alternating_toxicity,401,raw_positive_markout,240,100000,798,2897033000000000000,7119104226296832874,10016137226296832874,12309563123095630000,876230000000000000,2020803000000000000,569620253164556962,43478260869565217,1,968438538205980066,829166666666666666,7196,472049689440993788,847,812,646352402170384545,80253,3,30,0,0,0
